price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,zipcode
538000.0,3,2.25,2570,7242,2.0,3,2170,400,98125
510000.0,3,2.0,1680,8080,1.0,3,1680,0,98074
257500.0,3,2.25,1715,6819,2.0,3,1715,0,98003
323000.0,3,2.5,1890,6560,2.0,3,1890,0,98038
400000.0,3,1.75,1370,9680,1.0,4,1370,0,98074
395000.0,3,2.0,1890,14040,2.0,3,1890,0,98019
329000.0,3,2.25,2450,6500,2.0,4,2450,0,98030
719000.0,4,2.5,2570,7173,2.0,3,2570,0,98052
580500.0,3,2.5,2320,3980,2.0,3,2320,0,98027
640000.0,4,2.0,2360,6000,2.0,4,2360,0,98107
625000.0,4,2.5,2570,5520,2.0,3,2570,0,98074
785000.0,4,2.5,2290,13416,2.0,4,2290,0,98007
450000.0,3,1.75,1250,5963,1.0,4,1250,0,98115
600000.0,3,1.75,1410,4080,1.0,4,1000,410,98117
292500.0,4,2.5,2250,4495,2.0,3,2250,0,98042
301000.0,3,2.5,2420,4750,2.0,3,2420,0,98042
650000.0,3,2.25,2150,21235,1.0,4,1590,560,98166
289000.0,3,1.75,1260,8400,1.0,3,1260,0,98148
425000.0,3,2.25,1660,6000,1.0,3,1110,550,98122
287000.0,4,2.5,2240,4648,2.0,3,2240,0,98001
325000.0,3,2.0,1260,5612,1.0,4,1260,0,98034
360000.0,4,2.5,2380,5000,2.0,3,2380,0,98038
390000.0,3,2.5,2350,5100,2.0,3,2350,0,98038
360000.0,4,2.5,1900,5889,2.0,3,1900,0,98038
356000.0,3,1.5,1680,8712,1.0,3,1680,0,98059
243500.0,4,2.5,1980,7403,2.0,3,1980,0,98023
430000.0,3,1.5,1580,5000,1.0,3,1290,290,98117
700000.0,3,1.5,1580,5000,1.0,3,1290,290,98117
247500.0,3,1.75,1960,15681,1.0,3,1960,0,98032
437500.0,3,2.5,2320,36847,2.0,3,2320,0,98045
555000.0,3,2.0,1980,3478,1.5,4,1440,540,98117
597750.0,4,2.5,2310,9624,2.0,3,2310,0,98027
272500.0,3,1.75,1540,12600,1.0,4,1160,380,98038
391500.0,3,2.0,1450,9132,1.0,3,1450,0,98034
445000.0,3,2.25,2100,8201,1.0,3,1620,480,98178
430000.0,4,2.5,2070,4310,2.0,3,2070,0,98065
660500.0,4,2.25,2010,9603,1.0,3,1440,570,98027
453246.0,3,2.5,2010,2287,2.0,3,1390,620,98029
199000.0,3,1.75,1320,17390,1.0,4,1320,0,98003
500000.0,4,2.25,2030,8517,1.0,4,1380,650,98006
532170.0,3,2.0,1360,3090,2.0,3,1360,0,98103
247000.0,3,2.0,1270,7198,1.5,3,1270,0,98022
320000.0,4,1.75,1760,11180,1.0,4,1760,0,98059
438000.0,3,1.75,1780,9660,1.0,3,1780,0,98034
370000.0,3,1.75,1580,7000,1.0,3,1180,400,98034
284000.0,3,1.75,1560,21000,1.0,3,1560,0,98166
272000.0,3,1.75,2160,7140,1.0,4,1670,490,98023
313000.0,3,1.5,1340,7912,1.5,3,1340,0,98133
673000.0,4,2.25,2590,8190,2.0,4,2590,0,98006
269950.0,3,1.5,1950,7560,1.0,4,1320,630,98022
260000.0,3,2.5,1670,5797,2.0,3,1670,0,98030
269000.0,4,1.75,1490,10000,1.0,4,1100,390,98023
560000.0,3,2.5,1900,8744,2.0,3,1900,0,98074
305000.0,3,1.75,1650,9480,1.0,3,1220,430,98034
799000.0,3,2.5,2140,9897,1.0,4,2140,0,98040
256883.0,3,2.5,1690,5025,2.0,3,1690,0,98023
465000.0,3,2.5,2150,4084,2.0,3,2150,0,98126
297000.0,3,2.5,1940,14952,2.0,3,1940,0,98042
677900.0,3,2.5,2440,4587,2.0,3,2440,0,98052
320000.0,4,2.25,1550,7579,2.0,3,1550,0,98038
625504.0,3,2.25,1270,1566,2.0,3,1060,210,98105
592500.0,4,2.5,2240,12032,1.0,3,2240,0,98074
477000.0,4,2.75,1720,6270,2.0,3,1720,0,98118
445838.0,3,2.5,2250,5692,2.0,3,2250,0,98146
279950.0,3,2.0,1750,9750,1.0,3,1350,400,98198
527000.0,4,2.25,2330,19436,2.0,3,2330,0,98011
325000.0,3,2.25,2220,16020,1.0,4,1780,440,98030
328000.0,3,2.25,2020,8379,2.0,3,2020,0,98038
264950.0,4,2.25,1720,9753,1.0,4,1120,600,98023
516500.0,3,2.5,1480,4729,2.0,3,1480,0,98053
225000.0,3,1.75,1430,8505,1.0,4,1430,0,98003
250000.0,4,2.0,2010,7312,1.0,4,2010,0,98002
260000.0,3,2.0,1810,7209,1.0,4,1240,570,98032
415000.0,3,2.25,1510,36224,2.0,3,1510,0,98045
245000.0,3,2.5,1730,7442,2.0,3,1730,0,98030
315000.0,3,1.75,1580,11455,1.0,4,1200,380,98059
693000.0,4,2.5,2460,4425,2.0,3,2460,0,98052
237000.0,3,1.75,1270,8470,1.0,4,1270,0,98198
290000.0,4,2.5,1700,7280,2.0,4,1700,0,98031
272500.0,3,2.5,2070,9900,1.0,3,1420,650,98023
455000.0,4,2.5,2210,49375,1.0,3,2210,0,98038
405000.0,3,1.75,1670,6720,1.0,3,1140,530,98034
389999.0,4,2.5,1890,15770,2.0,4,1890,0,98166
360000.0,4,2.5,2160,9528,2.0,3,2160,0,98001
265000.0,3,2.0,1320,8959,1.0,3,1320,0,98042
404000.0,3,1.5,2030,8880,1.0,3,1330,700,98108
267500.0,3,1.75,1590,11914,1.0,3,1090,500,98188
335000.0,3,2.5,2440,7632,2.0,3,2440,0,98003
208633.0,3,2.5,2040,3810,2.0,3,2040,0,98038
550000.0,4,2.75,1800,7750,1.0,4,1400,400,98177
610750.0,4,2.25,2180,7297,2.0,3,2180,0,98074
305000.0,4,2.25,1950,7700,1.0,3,1350,600,98058
520000.0,3,2.25,2030,16200,2.0,3,2030,0,98027
230000.0,3,2.0,1450,11204,1.0,3,1450,0,98001
240000.0,3,1.75,1510,10248,1.0,3,1510,0,98023
740000.0,4,2.0,2050,4400,1.5,4,2050,0,98102
295000.0,3,2.0,1810,10530,1.0,3,1810,0,98022
260000.0,4,2.5,1960,5238,2.0,3,1960,0,98038
265000.0,3,1.75,1420,8250,1.0,3,1420,0,98133
245000.0,3,1.75,1740,11547,1.0,3,1740,0,98178
485000.0,4,1.75,2560,43995,2.0,4,2560,0,98052
309600.0,4,1.75,1275,20000,1.0,4,1275,0,98070
552250.0,4,2.5,2580,5823,2.0,3,2580,0,98065
206600.0,3,2.0,1390,13464,1.0,4,1390,0,98030
855000.0,4,2.75,2270,10460,2.0,3,2270,0,98040
252000.0,4,1.5,1550,19800,1.0,4,1050,500,98001
300000.0,4,2.5,1910,4862,2.0,3,1910,0,98038
679900.0,3,2.5,2440,5750,2.0,3,1980,460,98116
463000.0,3,2.5,1640,29970,2.0,3,1640,0,98053
329500.0,4,2.5,1820,7912,2.0,3,1820,0,98038
465000.0,3,2.0,1840,40438,2.0,3,1840,0,98045
280000.0,3,2.25,1430,7222,2.0,3,1430,0,98056
297000.0,3,2.25,1450,7562,2.0,3,1450,0,98056
450000.0,3,1.75,1640,13500,1.0,3,1110,530,98125
595000.0,4,2.0,2020,2849,2.0,3,2020,0,98115
435000.0,3,1.5,1300,3348,1.5,3,1300,0,98144
389000.0,4,2.25,2130,5337,2.0,3,2130,0,98019
799000.0,4,2.25,2510,11585,2.0,4,2510,0,98040
365500.0,3,2.0,1410,9600,1.0,4,1410,0,98072
252350.0,3,2.0,1650,7352,1.0,3,1160,490,98058
403950.0,4,2.5,2120,13780,2.0,3,2120,0,98146
385000.0,4,1.5,2040,10726,1.0,3,1380,660,98177
490000.0,3,2.75,1980,3128,2.0,4,1980,0,98008
330000.0,3,2.5,1600,26977,2.0,3,1600,0,98019
269900.0,4,1.75,1530,8750,1.5,4,1530,0,98058
437000.0,3,2.5,1750,22357,2.0,3,1750,0,98045
322500.0,4,2.5,1820,6753,2.0,3,1820,0,98038
278500.0,3,2.0,1570,5250,1.0,3,1570,0,98092
364950.0,4,2.5,1930,6957,2.0,3,1930,0,98055
268000.0,3,2.5,1550,8134,2.0,3,1550,0,98031
577500.0,3,2.5,2000,7251,2.0,3,2000,0,98034
339000.0,4,1.5,2390,7480,1.5,3,2390,0,98178
355000.0,3,2.25,1860,5028,2.0,3,1860,0,98019
538000.0,3,2.5,2250,11632,2.0,3,2250,0,98056
380000.0,3,2.5,2280,10255,2.0,4,2280,0,98058
397000.0,4,2.0,1440,7680,1.0,3,1200,240,98034
365000.0,3,2.5,2200,4052,2.0,3,2200,0,98058
237000.0,3,2.5,1490,2138,2.0,3,1490,0,98055
525000.0,4,2.5,2450,5280,2.0,3,2450,0,98011
749000.0,4,2.5,1710,9627,1.0,3,1440,270,98006
578000.0,3,1.75,2120,10875,1.0,3,1540,580,98146
196000.0,3,2.25,2070,11576,2.0,3,2070,0,98001
400000.0,3,1.75,1920,9102,1.0,3,1920,0,98072
505000.0,3,2.0,1260,5460,1.0,3,1260,0,98034
